screen_name,created_at,location,source,hashtags,text
prof_goldberg,2020-04-21 16:14:33,"Denver, CO",TweetDeck,,"Some of my thoughts on ethical and legal implications of ""immunity certificates"" -- which are not hypothetical, Chile just approved this approach -- in this excellent @RollingStone article from @elizabethics 

https://t.co/SNEdYo2X72 https://t.co/8kYBsEHNTA"
mezzopipes,2020-04-21 16:14:33,"Cincinnati, Ohio",Twitter for iPhone,,"There is a way to safely reopen by summer, and stay open. It won’t be easy but it can be done. https://t.co/KCYF1ix82C"
bryanacurtiss,2020-04-21 16:14:33,"Columbus, Ohio, USA",Tumblr,,"📷 National Library Week 2020 This year, National Library Week is a little different.  First of all, libraries all across the country are closed due to COVID-19.  Many have laid off staff to stay afloat. However, there are librarians,... https://t.co/UIVbNqtPGu"
faithboudwin,2020-04-21 16:14:32,"Houma, LA",Twitter for iPhone,,"Dr. Birx is an Army Colonel and a subject matter expert who has dedicated her life to fighting infectious diseases.

Why shouldn’t she also be able to speak?
 
“Joe Biden: Dr. Anthony Fauci should be 'only person' public hears from during COVID-19 crisis”

https://t.co/K8AsHJLtdA"
StupidBoomers,2020-04-21 16:14:32,The Titanic State or CA,Twitter Web App,FoxNews,"Gov. DeSantis: Florida 'has flattened the curve' without 'draconian orders' https://t.co/U39cUQRbYp #FoxNews 
Great news!  Yes, Florida did a good and fair job. It has a Republican Gouverneur anyway. .."
Aangtweets,2020-04-21 16:14:32,Texas,Twitter Web App,,"On April 16, the day after Governor Cuomo was on Chris's show to give him a pass about passing COVID-19 on to his wife Christina, he extended NY's PAUSE for another month. His brother is literally driving around and being outside with other people *WHILE ACTUALLY HAVING COVID.*"
DrPattyRN,2020-04-21 16:14:32,"Maryland, USA",Twitter for iPhone,nursing,Who speaks for #nursing? COVID‐19 highlighting gaps in leadership https://t.co/bzd5DjF1l5
SadiqaWilliams,2020-04-21 16:14:32,"Catskill, NY",Twitter for Android,,"Good news for me and my family.  Last week I tested positive for Covid antibodies, confirming I cleared the virus after weeks without symptoms.  I’ve also signed up for a clinical trial to donate my blood plasma and expect to make the donation in the coming weeks"
ExcuseMyFly,2020-04-21 16:14:32,"North Charleston, SC",Twitter for iPhone,,It’s been damn there impossible for me to find beef this week. I wonder if it’s because we get so much beef locally and from the Pueblo’s and tribes and they’re suffering with covid 😔
ayyyy_tay,2020-04-21 16:14:32,"North Charleston, SC",Twitter for iPhone,,"Say her name....Skylar Herbert, the daughter of Detroit first responders, is the first child with COVID-19 to die in Michigan. She was 5 years old. https://t.co/SvnTsqSKAV"
lindamac12steps,2020-04-21 16:14:32,"Arizona, USA",Twitter for iPhone,,"Joe Biden: Dr. Anthony Fauci should be 'only person' public hears from during COVID-19 crisis 🤔

Why not Dr. Birx?

This sounds sexist to me.  Maybe Dr. Birx is just too old for his liking 😏

https://t.co/WWFr2qApGz"
kleinerperkins,2020-04-21 16:14:31,"Menlo Park, CA",Twitter Web App,Project100,"We're announcing #Project100, a partnership btwn @FreshEBT, @GiveDirectly, and @Stand4Children to raise $100M to fund 100k families who use Fresh EBT. $55M already raised. We believe this will be the largest private cash aid program in history.

Join us at https://t.co/OE28uKiTFh https://t.co/v3bXbkP47S"
RealFrankThomas,2020-04-21 16:14:31,"New York, NY",Twitter for iPhone,,"President Trump now seeks to distract us from his fumbled COVID-19 response by trying to put the blame on immigrants. The truth is many immigrants are on our front lines, protecting us as doctors, nurses, health aids, farmworkers, and restaurant workers. https://t.co/nJef4W5qZK"
FLMomNYGirl,2020-04-21 16:14:31,"Florida, USA",Twitter for Android,,"Another COVID theory emanating from France - that the virus infects Prevotella gut bacteria - causing a hyper-immune response and pneumonia. This is theorized as to why Azythromycin is effective in treating COVID, as it is an effective antibacterial.  None of this is yet proven."
chelsirhoades13,2020-04-21 16:14:31,"Columbus, OH",Twitter for iPhone,,"New this AM: Stacey Abrams, Cory Booker and Andrew Yang have joined forces to announce Project 100, a campaign to provide direct cash payments to families on food stamps during the Covid crisis. https://t.co/fFE2vvA9Ab"
SpaceForceTom,2020-04-21 16:14:30,"Lighthouse Point, FL",Twitter for iPhone,,"Dr. Birx is an Army Colonel and a subject matter expert who has dedicated her life to fighting infectious diseases.

Why shouldn’t she also be able to speak?
 
“Joe Biden: Dr. Anthony Fauci should be 'only person' public hears from during COVID-19 crisis”

https://t.co/K8AsHJLtdA"
Herdingcats15,2020-04-21 16:14:30,"Virginia, USA",Twitter for iPhone,COVID,USC-LA County Study: Early Results of Antibody Testing Suggest Number of #COVID-19 Infections Far Exceeds Number of Confirmed Cases in Los Angeles County. Visit https://t.co/ykORK5zq65 for more https://t.co/2Yw6mZ6D5j
Jerry_717,2020-04-21 16:14:30,"Philadelphia, PA",Twitter for Android,,Chairman and CEO Jeffrey Lurie has announced that he and the Philadelphia Eagles are making $1 million in donations to help combat the impact of COVID-19 in the City of Philadelphia.
SignatureAmeri,2020-04-21 16:14:30,"Lake Forrest, CA",SlackSocial,,Home Care Agencies And Workers Are The Next Ground Zero For COVID-19 https://t.co/1sLYv5XpWI
wasfram,2020-04-21 16:14:30,"California, USA",Twitter for iPhone,,Huh? You want to allow immigrants into the US while keeping Americans on lockdown? Did COVID all of a sudden disappear? Or is it now not has scary? Start cutting off Democrat voter base and you can bet your a&amp;&amp; COVID won’t be a big deal anymore. https://t.co/8yE639YvqH
ScottColePro73,2020-04-21 16:14:30,"Westport, CT",Twitter Web App,,"These ""liberate America"" protesters don't want liberty. They want control. They want to force others to play by their death-cult rules.
My freedom to live must be every bit as protected as their freedom to die. My latest in @thenation 
https://t.co/fOZyNUmSQ7"
InfamousResists,2020-04-21 16:14:29,WestSide USA,Twitter for iPhone,,"Incredible: a woman waves a ""Show me the data"" sign at a nurse who has been treating Covid-19 patients for weeks. When a patient dies, does that count? (via @dcwoodruff) https://t.co/RZcYv8UmFe"
JudithMPriest,2020-04-21 16:14:29,"Boston, MA",Twitter for iPhone,,"These ""liberate America"" protesters don't want liberty. They want control. They want to force others to play by their death-cult rules.
My freedom to live must be every bit as protected as their freedom to die. My latest in @thenation 
https://t.co/fOZyNUmSQ7"
