screen_name,created_at,location,source,hashtags,text
lucky_Madlen,2020-04-10 22:37:55,Berlin,Twitter for Android,,"By now, everyone is all too familiar with COVID-19, but do you understand how it actually affects your body? I made this poster to try to summarize the main events that occur following infection. I hope you learn something! 
#sciart #scicomm #coronavirus #covid19 https://t.co/j3Kr47pNY1"
lluttig,2020-04-10 22:37:52,"Princeville, HI",Twitter for iPhone,COVID19,"JUST RELEASED: @JHSPH_CHS and @ASTHO have released a new report, “A National Plan to Enable Comprehensive #COVID19 Case Finding and Contact Tracing in the U.S.”

The report outlines key next steps in the battle against the novel #coronavirus.

🔗 https://t.co/BGbLfQGgqx https://t.co/SbEhZurMnm"
sandyslove123,2020-04-10 22:37:51,"Florida, USA",Twitter for Android,"HHS, Overcount, COVID19","HUGE! MN Senator &amp; Dr Reveals #HHS Document Coached Him on How to #Overcount #COVID19 Cases — WITH COPY OF DOCUMENT (VIDEO)

https://t.co/RNrIRwf41U

#QAnon #QAnon2018 #QAnon2020
#DemocratsHateAmerica
#ChineseCoronavirus
#MSMHatesAmerica
#Coronavirus
@realDonaldTrump
@WhiteHouse https://t.co/Pj6ZfauhbX"
rastafari_11,2020-04-10 22:37:50,Saint Petersburg,Twitter for Android,,"Contact me if you are a point of care  health care provider, a diagnostic lab or other USFDA approved company who needs COVID-19 IgM/IgG Rapid Test. Overnight delivery available. #covid19 #coronavirus  #rapidtest"
kerrycollison,2020-04-10 22:37:47,Melbourne,Twitter Web Client,,South Korea reports recovered COVID-19 patients testing positive again https://t.co/owiIpHTKtA
TechBlogs24,2020-04-10 22:37:41,"Dhaka, Bangladesh",Twitter Web App,"google, googleadsense, adsense, adsenseapproval, covid19, covid2019, coronavirus, covid_19",Google AdSense Approval Problem dew to Coronavirus (COVID-19) https://t.co/wJx561IMvO #google #googleadsense #adsense #adsenseapproval #covid19 #covid2019 #coronavirus #covid_19 https://t.co/eJJOvzdpKg
derrywan,2020-04-10 22:37:32,,Twitter for iPhone,COVID,156 residents of Irish nursing homes have died from #COVID-19 in 41 days. That's 54% of all COVID deaths so far. First time we got that figure. #COVIDー19 #COVID19 #COVIDー19 #coronavirus
natforprez,2020-04-10 22:37:31,"Los Angeles, CA",Twitter for iPhone,,"👨‍⚕️👩‍⚕️ Remember - always consult a qualified healthcare professional before taking antibiotics. Antibiotics don't work against viruses like #COVID19 virus.  

For more information on COVID-19 ➡️ https://t.co/C3mt4k815w 

#coronavirus

(ENDS) https://t.co/o3Gq9M1bFl"
danrivera01843,2020-04-10 22:37:29,"Lawrence, MA",Twitter for Android,"Coronavirus, COVID19, Lawrencema","DPH COUNTS 4/10/20:
JUST STAY HOME!
Lawrence Deaths - 12
Confirmed Cases of #Coronavirus #COVID19
#Lawrencema - 574 (could be 10-25X)
Essex - 2,670
Mass - 20,974
COVID-19 Massachusetts Deaths - 599

THESE #'s ARE MISLEADING. ACT AS IF EVERYONE HAS IT.
JUST STAY HOME! https://t.co/SNzlBYEcpp"
nufannorsz,2020-04-10 22:37:24,"Perak , MY",Twitter for Android,,"By now, everyone is all too familiar with COVID-19, but do you understand how it actually affects your body? I made this poster to try to summarize the main events that occur following infection. I hope you learn something! 
#sciart #scicomm #coronavirus #covid19 https://t.co/j3Kr47pNY1"
